Date,Department,ARMS Department ID,Total # of Employees,# of Employees with Debt,% Employees with Debt,Total Amount Due
6/24/17,PROCUREMENT SERV,PROCUREMENT,96,3,3.1,1242.78
6/24/17,STREETS AND SANITATION,STREETSAN,2044,54,2.6,22928.01
6/24/17,TRANSPORTATION,TRANS,1234,4,0.3,642.98
6/24/17,CITY TREASURER,TREASURER,25,0,0,0
6/24/17,WATER MANAGEMENT,WATER,1909,10,0.5,4520.81
7/1/17,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
7/1/17,COMM ANIMAL CARE AND CONTROL,ANIMAL,72,1,1.4,466.4
7/1/17,AVIATION,AVIATION,1422,17,1.2,6554.24
7/1/17,BUS AFFAIRS AND CONSUMER PROT,BACP,161,1,0.6,336.24
7/1/17,BUILDINGS,BUILDINGS,273,2,0.7,562.84
7/1/17,CULTURAL AFFAIRS,CA,65,0,0,0
7/1/17,CHICAGO BOARD OF EDUCATION,CBOE,44340,2452,5.5,1766233.06
7/1/17,CITY COLLEGES OF CHICAGO,CCC,5376,133,2.5,94147.3
7/1/17,FIRE DEPARTMENT,CFD,4838,98,2,40309.2
7/1/17,CHICAGO HOUSING AUTHORITY,CHA,562,25,4.4,18352.88
7/1/17,CITY CLERK,CLERK,84,0,0,0
7/1/17,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,210,2,1,471.32
7/1/17,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,77,0,0,0
7/1/17,CITY COUNCIL,COUNCIL,405,10,2.5,21809.63
7/1/17,CHICAGO PARK DISTRICT,CPDT,3463,131,3.8,120808.15
7/1/17,CHICAGO PUBLIC LIBRARY,CPL,997,6,0.6,1594.59
7/1/17,CHICAGO TRANSIT AUTHORITY,CTA,11014,1976,17.9,1578936.97
7/1/17,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,2,1.9,571.17
7/1/17,BOARD OF ETHICS,ETHICS,8,0,0,0
7/1/17,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,624,2,0.3,220
7/1/17,FINANCE,FINANCE,559,3,0.5,759.26
7/1/17,FLEET AND FACILITY MGMT,FLEETFM,973,24,2.5,16009.19
7/1/17,PUBLIC HEALTH,HEALTH,524,2,0.4,525.81
7/1/17,COMMISSION ON HUMAN RELATIONS,HR,17,0,0,0
7/1/17,HUMAN RESOURCES,HUMANRESOURCES,69,0,0,0
7/1/17,INDEPENDENT POLICE REVIEW AUTHORITY,IPRA,33,3,9.1,1421.32
7/1/17,LAW,LAW,389,0,0,0
7/1/17,OFFICE OF THE MAYOR,MAYOR,86,0,0,0
7/1/17,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,28,0,0,0
7/1/17,OFFICE OF BUDGET & MANAGEMENT,OBM,45,0,0,0
7/1/17,OFFICE OF EMERGENCY MGMT & COM,OEMC,2139,83,3.9,67838.21
7/1/17,POLICE,POLICE,12873,68,0.5,62035.45
7/1/17,PROCUREMENT SERV,PROCUREMENT,96,2,2.1,420.32
7/1/17,STREETS AND SANITATION,STREETSAN,2044,28,1.4,14359.46
7/1/17,TRANSPORTATION,TRANS,1234,4,0.3,542.98
7/1/17,CITY TREASURER,TREASURER,25,0,0,0
7/1/17,WATER MANAGEMENT,WATER,1909,12,0.6,5577.41
7/8/17,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
7/8/17,COMM ANIMAL CARE AND CONTROL,ANIMAL,74,1,1.4,466.4
7/8/17,AVIATION,AVIATION,1411,9,0.6,3209.42
7/8/17,BUS AFFAIRS AND CONSUMER PROT,BACP,162,1,0.6,214.24
7/8/17,BUILDINGS,BUILDINGS,272,2,0.7,562.84
7/8/17,CULTURAL AFFAIRS,CA,62,0,0,0
7/8/17,CHICAGO BOARD OF EDUCATION,CBOE,44340,2413,5.4,1753650.06
7/8/17,CITY COLLEGES OF CHICAGO,CCC,5376,130,2.4,93445.43
7/8/17,FIRE DEPARTMENT,CFD,4871,94,1.9,36694.61
7/8/17,CHICAGO HOUSING AUTHORITY,CHA,562,25,4.4,18372.31
7/8/17,CITY CLERK,CLERK,104,0,0,0
7/8/17,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,202,2,1,471.32
7/8/17,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,91,0,0,0
7/8/17,CITY COUNCIL,COUNCIL,457,8,1.8,20499.32
7/8/17,CHICAGO PARK DISTRICT,CPDT,3463,128,3.7,119227.31
7/8/17,CHICAGO PUBLIC LIBRARY,CPL,987,3,0.3,574.59
7/8/17,CHICAGO TRANSIT AUTHORITY,CTA,11014,1961,17.8,1566036.93
7/8/17,DOIT,DOIT,98,0,0,0
7/8/17,BOARD OF ELECTION COMMISSIONER,ELECTIONS,105,0,0,0
7/8/17,BOARD OF ETHICS,ETHICS,8,0,0,0
7/8/17,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,621,2,0.3,220
7/8/17,FINANCE,FINANCE,554,3,0.5,759.26
7/8/17,FLEET AND FACILITY MGMT,FLEETFM,971,17,1.8,14898.36
7/8/17,PUBLIC HEALTH,HEALTH,512,2,0.4,414.48
7/8/17,COMMISSION ON HUMAN RELATIONS,HR,17,0,0,0
7/8/17,HUMAN RESOURCES,HUMANRESOURCES,70,0,0,0
7/8/17,INDEPENDENT POLICE REVIEW AUTHORITY,IPRA,29,3,10.3,1421.32
7/8/17,LAW,LAW,391,0,0,0
7/8/17,OFFICE OF THE MAYOR,MAYOR,104,0,0,0
7/8/17,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,31,0,0,0
7/8/17,OFFICE OF BUDGET & MANAGEMENT,OBM,45,0,0,0
7/8/17,OFFICE OF EMERGENCY MGMT & COM,OEMC,2162,75,3.5,64900.21
7/8/17,POLICE,POLICE,12899,58,0.4,62370.39
7/8/17,PROCUREMENT SERV,PROCUREMENT,95,2,2.1,420.32
7/8/17,STREETS AND SANITATION,STREETSAN,2031,15,0.7,12011.15
7/8/17,TRANSPORTATION,TRANS,1234,3,0.2,433.3
7/8/17,CITY TREASURER,TREASURER,26,0,0,0
7/8/17,WATER MANAGEMENT,WATER,1902,10,0.5,5357.41
7/15/17,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
7/15/17,COMM ANIMAL CARE AND CONTROL,ANIMAL,74,1,1.4,466.4
7/15/17,AVIATION,AVIATION,1411,6,0.4,2364.49
7/15/17,BUS AFFAIRS AND CONSUMER PROT,BACP,162,1,0.6,214.24
7/15/17,BUILDINGS,BUILDINGS,272,2,0.7,562.84
7/15/17,CULTURAL AFFAIRS,CA,62,0,0,0
7/15/17,CHICAGO BOARD OF EDUCATION,CBOE,44340,2376,5.4,1740324.34
7/15/17,CITY COLLEGES OF CHICAGO,CCC,5376,122,2.3,88626.34
7/15/17,FIRE DEPARTMENT,CFD,4871,93,1.9,36259.78
7/15/17,CHICAGO HOUSING AUTHORITY,CHA,562,25,4.4,18277.23
7/15/17,CITY CLERK,CLERK,104,0,0,0
7/15/17,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,202,2,1,471.32
7/15/17,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,91,0,0,0
7/15/17,CITY COUNCIL,COUNCIL,457,8,1.8,20499.32
7/15/17,CHICAGO PARK DISTRICT,CPDT,3463,126,3.6,120175.77
7/15/17,CHICAGO PUBLIC LIBRARY,CPL,987,2,0.2,834.65
7/15/17,CHICAGO TRANSIT AUTHORITY,CTA,11014,1948,17.7,1560524
7/15/17,DOIT,DOIT,98,0,0,0
7/15/17,BOARD OF ELECTION COMMISSIONER,ELECTIONS,105,0,0,0
7/15/17,BOARD OF ETHICS,ETHICS,8,0,0,0
7/15/17,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,621,2,0.3,220
7/15/17,FINANCE,FINANCE,554,3,0.5,759.26
7/15/17,FLEET AND FACILITY MGMT,FLEETFM,971,14,1.4,13405.67
7/15/17,PUBLIC HEALTH,HEALTH,512,2,0.4,414.48
7/15/17,COMMISSION ON HUMAN RELATIONS,HR,17,0,0,0
7/15/17,HUMAN RESOURCES,HUMANRESOURCES,70,0,0,0
7/15/17,INDEPENDENT POLICE REVIEW AUTHORITY,IPRA,29,3,10.3,1421.32
7/15/17,LAW,LAW,391,0,0,0
7/15/17,OFFICE OF THE MAYOR,MAYOR,104,0,0,0
7/15/17,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,31,0,0,0
7/15/17,OFFICE OF BUDGET & MANAGEMENT,OBM,45,0,0,0
7/15/17,OFFICE OF EMERGENCY MGMT & COM,OEMC,2162,66,3.1,62602.6
7/15/17,POLICE,POLICE,12899,57,0.4,62355.1
7/15/17,PROCUREMENT SERV,PROCUREMENT,95,2,2.1,420.32
7/15/17,STREETS AND SANITATION,STREETSAN,2031,14,0.7,11761.09
7/15/17,TRANSPORTATION,TRANS,1234,3,0.2,433.3
7/15/17,CITY TREASURER,TREASURER,26,0,0,0
7/15/17,WATER MANAGEMENT,WATER,1902,11,0.6,5410.72
7/22/17,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
7/22/17,COMM ANIMAL CARE AND CONTROL,ANIMAL,74,1,1.4,466.4
7/22/17,AVIATION,AVIATION,1411,4,0.3,1659.28
7/22/17,BUS AFFAIRS AND CONSUMER PROT,BACP,162,1,0.6,214.24
7/22/17,BUILDINGS,BUILDINGS,272,2,0.7,562.84
7/22/17,CULTURAL AFFAIRS,CA,62,0,0,0
7/22/17,CHICAGO BOARD OF EDUCATION,CBOE,44340,2349,5.3,1727695.13
7/22/17,CITY COLLEGES OF CHICAGO,CCC,5376,117,2.2,86766.8
7/22/17,FIRE DEPARTMENT,CFD,4871,89,1.8,35413.38
7/22/17,CHICAGO HOUSING AUTHORITY,CHA,562,24,4.3,18081.62
7/22/17,CITY CLERK,CLERK,104,0,0,0
7/22/17,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,202,1,0.5,347.5
7/22/17,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,91,0,0,0
7/22/17,CITY COUNCIL,COUNCIL,457,8,1.8,20499.32
7/22/17,CHICAGO PARK DISTRICT,CPDT,3463,126,3.6,119694.87
7/22/17,CHICAGO PUBLIC LIBRARY,CPL,987,2,0.2,834.65
7/22/17,CHICAGO TRANSIT AUTHORITY,CTA,11014,1933,17.6,1549959.97
7/22/17,DOIT,DOIT,98,0,0,0
7/22/17,BOARD OF ELECTION COMMISSIONER,ELECTIONS,105,0,0,0
7/22/17,BOARD OF ETHICS,ETHICS,8,0,0,0
7/22/17,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,621,2,0.3,220
7/22/17,FINANCE,FINANCE,554,3,0.5,759.26
7/22/17,FLEET AND FACILITY MGMT,FLEETFM,971,12,1.2,3862
7/22/17,PUBLIC HEALTH,HEALTH,512,2,0.4,414.48
7/22/17,COMMISSION ON HUMAN RELATIONS,HR,17,0,0,0
7/22/17,HUMAN RESOURCES,HUMANRESOURCES,70,0,0,0
7/22/17,INDEPENDENT POLICE REVIEW AUTHORITY,IPRA,29,3,10.3,1421.32
7/22/17,LAW,LAW,391,0,0,0
7/22/17,OFFICE OF THE MAYOR,MAYOR,104,0,0,0
7/22/17,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,31,0,0,0
7/22/17,OFFICE OF BUDGET & MANAGEMENT,OBM,45,0,0,0
7/22/17,OFFICE OF EMERGENCY MGMT & COM,OEMC,2162,64,3,61320.92
7/22/17,POLICE,POLICE,12899,53,0.4,60368.29
7/22/17,PROCUREMENT SERV,PROCUREMENT,95,2,2.1,376.27
7/22/17,STREETS AND SANITATION,STREETSAN,2031,13,0.6,11724.19
7/22/17,TRANSPORTATION,TRANS,1234,3,0.2,433.3
7/22/17,CITY TREASURER,TREASURER,26,0,0,0
7/22/17,WATER MANAGEMENT,WATER,1902,10,0.5,5310.72
7/29/17,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
7/29/17,COMM ANIMAL CARE AND CONTROL,ANIMAL,74,0,0,0
7/29/17,AVIATION,AVIATION,1411,2,0.1,923.65
7/29/17,BUS AFFAIRS AND CONSUMER PROT,BACP,162,1,0.6,214.24
7/29/17,BUILDINGS,BUILDINGS,272,0,0,0
7/29/17,CULTURAL AFFAIRS,CA,62,0,0,0
7/29/17,CHICAGO BOARD OF EDUCATION,CBOE,44340,2324,5.2,1717514.34
7/29/17,CITY COLLEGES OF CHICAGO,CCC,5376,103,1.9,79778.36
7/29/17,FIRE DEPARTMENT,CFD,4871,72,1.5,20966.38
7/29/17,CHICAGO HOUSING AUTHORITY,CHA,562,24,4.3,18055.58
7/29/17,CITY CLERK,CLERK,104,0,0,0
7/29/17,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,202,0,0,0
7/29/17,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,91,0,0,0
7/29/17,CITY COUNCIL,COUNCIL,457,5,1.1,19341.91
7/29/17,CHICAGO PARK DISTRICT,CPDT,3463,123,3.6,107846.2
7/29/17,CHICAGO PUBLIC LIBRARY,CPL,987,0,0,0
7/29/17,CHICAGO TRANSIT AUTHORITY,CTA,11014,1921,17.4,1539119.64
7/29/17,DOIT,DOIT,98,0,0,0
7/29/17,BOARD OF ELECTION COMMISSIONER,ELECTIONS,105,0,0,0
7/29/17,BOARD OF ETHICS,ETHICS,8,0,0,0
7/29/17,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,621,0,0,0
7/29/17,FINANCE,FINANCE,554,2,0.4,740
7/29/17,FLEET AND FACILITY MGMT,FLEETFM,971,4,0.4,923.46
7/29/17,PUBLIC HEALTH,HEALTH,512,0,0,0
7/29/17,COMMISSION ON HUMAN RELATIONS,HR,17,0,0,0
7/29/17,HUMAN RESOURCES,HUMANRESOURCES,70,0,0,0
7/29/17,INDEPENDENT POLICE REVIEW AUTHORITY,IPRA,29,1,3.4,167.32
7/29/17,LAW,LAW,391,0,0,0
7/29/17,OFFICE OF THE MAYOR,MAYOR,104,0,0,0
7/29/17,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,31,0,0,0
7/29/17,OFFICE OF BUDGET & MANAGEMENT,OBM,45,0,0,0
7/29/17,OFFICE OF EMERGENCY MGMT & COM,OEMC,2162,59,2.7,59303.89
7/29/17,POLICE,POLICE,12899,29,0.2,33868.41
7/29/17,PROCUREMENT SERV,PROCUREMENT,95,2,2.1,376.27
7/29/17,STREETS AND SANITATION,STREETSAN,2031,4,0.2,1856.93
7/29/17,TRANSPORTATION,TRANS,1234,3,0.2,433.3
7/29/17,CITY TREASURER,TREASURER,26,0,0,0
7/29/17,WATER MANAGEMENT,WATER,1902,5,0.3,2858.81
8/5/17,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
8/5/17,COMM ANIMAL CARE AND CONTROL,ANIMAL,74,0,0,0
8/5/17,AVIATION,AVIATION,1411,3,0.2,2120.6
8/5/17,BUS AFFAIRS AND CONSUMER PROT,BACP,162,1,0.6,214.24
8/5/17,BUILDINGS,BUILDINGS,272,0,0,0
8/5/17,CULTURAL AFFAIRS,CA,62,0,0,0
8/5/17,CHICAGO BOARD OF EDUCATION,CBOE,44340,2301,5.2,1718051.06
8/5/17,CITY COLLEGES OF CHICAGO,CCC,5376,91,1.7,74053.5
8/5/17,FIRE DEPARTMENT,CFD,4871,70,1.4,22519.78
8/5/17,CHICAGO HOUSING AUTHORITY,CHA,562,24,4.3,18070.49
8/5/17,CITY CLERK,CLERK,104,0,0,0
8/5/17,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,202,0,0,0
8/5/17,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,91,0,0,0
8/5/17,CITY COUNCIL,COUNCIL,457,4,0.9,19295.96
8/5/17,CHICAGO PARK DISTRICT,CPDT,3463,122,3.5,103236.83
8/5/17,CHICAGO PUBLIC LIBRARY,CPL,987,0,0,0
8/5/17,CHICAGO TRANSIT AUTHORITY,CTA,11014,1901,17.3,1532467.09
8/5/17,DOIT,DOIT,98,0,0,0
8/5/17,BOARD OF ELECTION COMMISSIONER,ELECTIONS,105,0,0,0
8/5/17,BOARD OF ETHICS,ETHICS,8,0,0,0
8/5/17,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,621,1,0.2,450.35
8/5/17,FINANCE,FINANCE,554,1,0.2,540
8/5/17,FLEET AND FACILITY MGMT,FLEETFM,971,3,0.3,523.46
8/5/17,PUBLIC HEALTH,HEALTH,512,1,0.2,118.84
8/5/17,COMMISSION ON HUMAN RELATIONS,HR,17,0,0,0
8/5/17,HUMAN RESOURCES,HUMANRESOURCES,70,0,0,0
8/5/17,INDEPENDENT POLICE REVIEW AUTHORITY,IPRA,29,0,0,0
8/5/17,LAW,LAW,391,0,0,0
8/5/17,OFFICE OF THE MAYOR,MAYOR,104,0,0,0
8/5/17,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,31,0,0,0
8/5/17,OFFICE OF BUDGET & MANAGEMENT,OBM,45,0,0,0
8/5/17,OFFICE OF EMERGENCY MGMT & COM,OEMC,2162,59,2.7,67409.97
8/5/17,POLICE,POLICE,12899,29,0.2,33812.46
8/5/17,PROCUREMENT SERV,PROCUREMENT,95,2,2.1,376.27
8/5/17,STREETS AND SANITATION,STREETSAN,2031,7,0.3,4138.82
8/5/17,TRANSPORTATION,TRANS,1234,3,0.2,852.6
8/5/17,CITY TREASURER,TREASURER,26,0,0,0
8/5/17,WATER MANAGEMENT,WATER,1902,5,0.3,2858.81
8/12/17,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
8/12/17,COMM ANIMAL CARE AND CONTROL,ANIMAL,78,0,0,0
8/12/17,AVIATION,AVIATION,1400,3,0.2,2120.6
8/12/17,BUS AFFAIRS AND CONSUMER PROT,BACP,162,1,0.6,214.24
8/12/17,BUILDINGS,BUILDINGS,271,0,0,0
8/12/17,CULTURAL AFFAIRS,CA,68,0,0,0
8/12/17,CHICAGO BOARD OF EDUCATION,CBOE,44340,2272,5.1,1701549.61
8/12/17,CITY COLLEGES OF CHICAGO,CCC,5376,85,1.6,71006.14
8/12/17,FIRE DEPARTMENT,CFD,4858,67,1.4,21799.78
8/12/17,CHICAGO HOUSING AUTHORITY,CHA,562,24,4.3,18070.49
8/12/17,CITY CLERK,CLERK,107,0,0,0
8/12/17,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,203,0,0,0
8/12/17,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,115,0,0,0
8/12/17,CITY COUNCIL,COUNCIL,455,4,0.9,19295.96
8/12/17,CHICAGO PARK DISTRICT,CPDT,3463,122,3.5,104101.99
8/12/17,CHICAGO PUBLIC LIBRARY,CPL,987,1,0.1,400
8/12/17,CHICAGO TRANSIT AUTHORITY,CTA,11014,1882,17.1,1521485.48
8/12/17,DOIT,DOIT,98,0,0,0
8/12/17,BOARD OF ELECTION COMMISSIONER,ELECTIONS,103,0,0,0
8/12/17,BOARD OF ETHICS,ETHICS,8,0,0,0
8/12/17,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,623,1,0.2,450.35
8/12/17,FINANCE,FINANCE,562,0,0,0
8/12/17,FLEET AND FACILITY MGMT,FLEETFM,969,4,0.4,809.62
8/12/17,PUBLIC HEALTH,HEALTH,503,1,0.2,118.84
8/12/17,COMMISSION ON HUMAN RELATIONS,HR,17,0,0,0
8/12/17,HUMAN RESOURCES,HUMANRESOURCES,69,0,0,0
8/12/17,INDEPENDENT POLICE REVIEW AUTHORITY,IPRA,14,0,0,0
8/12/17,LAW,LAW,389,0,0,0
8/12/17,OFFICE OF THE MAYOR,MAYOR,104,0,0,0
8/12/17,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,32,0,0,0
8/12/17,OFFICE OF BUDGET & MANAGEMENT,OBM,46,0,0,0
8/12/17,OFFICE OF EMERGENCY MGMT & COM,OEMC,2156,58,2.7,67366.89
8/12/17,POLICE,POLICE,12964,28,0.2,33612.46
8/12/17,PROCUREMENT SERV,PROCUREMENT,96,1,1,200
8/12/17,STREETS AND SANITATION,STREETSAN,2042,8,0.4,4556.82
8/12/17,TRANSPORTATION,TRANS,1237,2,0.2,570
8/12/17,CITY TREASURER,TREASURER,23,0,0,0
8/12/17,WATER MANAGEMENT,WATER,1914,5,0.3,2866.45
8/19/17,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
8/19/17,COMM ANIMAL CARE AND CONTROL,ANIMAL,78,0,0,0
8/19/17,AVIATION,AVIATION,1400,4,0.3,2599.73
8/19/17,BUS AFFAIRS AND CONSUMER PROT,BACP,162,1,0.6,214.24
8/19/17,BUILDINGS,BUILDINGS,271,0,0,0
8/19/17,CULTURAL AFFAIRS,CA,68,0,0,0
8/19/17,CHICAGO BOARD OF EDUCATION,CBOE,44340,2263,5.1,1667762.27
8/19/17,CITY COLLEGES OF CHICAGO,CCC,5376,88,1.6,75652.24
8/19/17,FIRE DEPARTMENT,CFD,4858,66,1.4,21713.22
8/19/17,CHICAGO HOUSING AUTHORITY,CHA,562,25,4.4,19410.52
8/19/17,CITY CLERK,CLERK,107,0,0,0
8/19/17,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,203,0,0,0
8/19/17,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,115,0,0,0
8/19/17,CITY COUNCIL,COUNCIL,455,4,0.9,19175.96
8/19/17,CHICAGO PARK DISTRICT,CPDT,3463,124,3.6,113414.97
8/19/17,CHICAGO PUBLIC LIBRARY,CPL,987,2,0.2,1040
8/19/17,CHICAGO TRANSIT AUTHORITY,CTA,11014,1874,17,1502124.98
8/19/17,DOIT,DOIT,98,0,0,0
8/19/17,BOARD OF ELECTION COMMISSIONER,ELECTIONS,103,0,0,0
8/19/17,BOARD OF ETHICS,ETHICS,8,0,0,0
8/19/17,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,623,1,0.2,450.35
8/19/17,FINANCE,FINANCE,562,1,0.2,75
8/19/17,FLEET AND FACILITY MGMT,FLEETFM,969,4,0.4,809.62
8/19/17,PUBLIC HEALTH,HEALTH,503,0,0,0
8/19/17,COMMISSION ON HUMAN RELATIONS,HR,17,0,0,0
8/19/17,HUMAN RESOURCES,HUMANRESOURCES,69,0,0,0
8/19/17,INDEPENDENT POLICE REVIEW AUTHORITY,IPRA,14,0,0,0
8/19/17,LAW,LAW,389,0,0,0
8/19/17,OFFICE OF THE MAYOR,MAYOR,104,0,0,0
8/19/17,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,32,0,0,0
8/19/17,OFFICE OF BUDGET & MANAGEMENT,OBM,46,0,0,0
8/19/17,OFFICE OF EMERGENCY MGMT & COM,OEMC,2156,58,2.7,68352.74
8/19/17,POLICE,POLICE,12964,30,0.2,35471.94
8/19/17,PROCUREMENT SERV,PROCUREMENT,96,2,2.1,376.27
8/19/17,STREETS AND SANITATION,STREETSAN,2042,9,0.4,4205
8/19/17,TRANSPORTATION,TRANS,1237,2,0.2,570
8/19/17,CITY TREASURER,TREASURER,23,0,0,0
8/19/17,WATER MANAGEMENT,WATER,1914,5,0.3,2866.16
8/26/17,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
8/26/17,COMM ANIMAL CARE AND CONTROL,ANIMAL,78,0,0,0
8/26/17,AVIATION,AVIATION,1400,4,0.3,2599.73
8/26/17,BUS AFFAIRS AND CONSUMER PROT,BACP,162,1,0.6,214.24
8/26/17,BUILDINGS,BUILDINGS,271,0,0,0
8/26/17,CULTURAL AFFAIRS,CA,68,0,0,0
8/26/17,CHICAGO BOARD OF EDUCATION,CBOE,44340,2251,5.1,1670411.73
8/26/17,CITY COLLEGES OF CHICAGO,CCC,5376,85,1.6,64589.7
8/26/17,FIRE DEPARTMENT,CFD,4858,64,1.3,21313.22
8/26/17,CHICAGO HOUSING AUTHORITY,CHA,562,24,4.3,18188.73
8/26/17,CITY CLERK,CLERK,107,0,0,0
8/26/17,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,203,0,0,0
8/26/17,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,115,0,0,0
8/26/17,CITY COUNCIL,COUNCIL,455,4,0.9,19175.96
8/26/17,CHICAGO PARK DISTRICT,CPDT,3463,117,3.4,106195.69
8/26/17,CHICAGO PUBLIC LIBRARY,CPL,987,1,0.1,640
8/26/17,CHICAGO TRANSIT AUTHORITY,CTA,11014,1863,16.9,1488829.2
8/26/17,DOIT,DOIT,98,0,0,0
8/26/17,BOARD OF ELECTION COMMISSIONER,ELECTIONS,103,0,0,0
8/26/17,BOARD OF ETHICS,ETHICS,8,0,0,0
8/26/17,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,623,1,0.2,450.35
8/26/17,FINANCE,FINANCE,562,1,0.2,75
8/26/17,FLEET AND FACILITY MGMT,FLEETFM,969,5,0.5,846.95
8/26/17,PUBLIC HEALTH,HEALTH,503,0,0,0
8/26/17,COMMISSION ON HUMAN RELATIONS,HR,17,0,0,0
8/26/17,HUMAN RESOURCES,HUMANRESOURCES,69,0,0,0
8/26/17,INDEPENDENT POLICE REVIEW AUTHORITY,IPRA,14,0,0,0
8/26/17,LAW,LAW,389,1,0.3,71.26
8/26/17,OFFICE OF THE MAYOR,MAYOR,104,0,0,0
8/26/17,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,32,0,0,0
8/26/17,OFFICE OF BUDGET & MANAGEMENT,OBM,46,0,0,0
8/26/17,OFFICE OF EMERGENCY MGMT & COM,OEMC,2156,60,2.8,72367.9
8/26/17,POLICE,POLICE,12964,29,0.2,35313.07
8/26/17,PROCUREMENT SERV,PROCUREMENT,96,2,2.1,376.27
8/26/17,STREETS AND SANITATION,STREETSAN,2042,10,0.5,5344.5
8/26/17,TRANSPORTATION,TRANS,1237,3,0.2,1255.03
8/26/17,CITY TREASURER,TREASURER,23,0,0,0
8/26/17,WATER MANAGEMENT,WATER,1914,5,0.3,2866.16
9/2/17,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
9/2/17,COMM ANIMAL CARE AND CONTROL,ANIMAL,78,0,0,0
9/2/17,AVIATION,AVIATION,1400,4,0.3,2599.73
9/2/17,BUS AFFAIRS AND CONSUMER PROT,BACP,162,1,0.6,214.24
9/2/17,BUILDINGS,BUILDINGS,271,0,0,0
9/2/17,CULTURAL AFFAIRS,CA,68,0,0,0
9/2/17,CHICAGO BOARD OF EDUCATION,CBOE,44340,2239,5,1668958.06
9/2/17,CITY COLLEGES OF CHICAGO,CCC,5376,86,1.6,61474.6
9/2/17,FIRE DEPARTMENT,CFD,4858,64,1.3,21328.2
9/2/17,CHICAGO HOUSING AUTHORITY,CHA,562,24,4.3,18203.52
9/2/17,CITY CLERK,CLERK,107,0,0,0
9/2/17,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,203,0,0,0
9/2/17,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,115,0,0,0
9/2/17,CITY COUNCIL,COUNCIL,455,4,0.9,19175.96
9/2/17,CHICAGO PARK DISTRICT,CPDT,3463,113,3.3,99195.67
9/2/17,CHICAGO PUBLIC LIBRARY,CPL,987,1,0.1,640
9/2/17,CHICAGO TRANSIT AUTHORITY,CTA,11014,1855,16.8,1480743.21
9/2/17,DOIT,DOIT,98,0,0,0
9/2/17,BOARD OF ELECTION COMMISSIONER,ELECTIONS,103,0,0,0
9/2/17,BOARD OF ETHICS,ETHICS,8,0,0,0
9/2/17,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,623,1,0.2,450.35
9/2/17,FINANCE,FINANCE,562,0,0,0
9/2/17,FLEET AND FACILITY MGMT,FLEETFM,969,5,0.5,1559.59
